City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
160,franklin,39.9667,-83.0166,20.18,83,40,4.63,US,1714966020
161,naze,28.3667,129.4833,24.51,86,53,6.02,JP,1714966440
162,abadan,30.3392,48.3043,24.97,78,75,2.06,IR,1714966440
163,kaspiyskiy,45.3929,47.3707,11.43,53,100,4.23,RU,1714966440
164,tshabong,-26.05,22.45,17.28,39,0,4.19,BW,1714966441
165,ribeira grande,38.5167,-28.7,18.21,96,100,8.05,PT,1714966441
166,gadzhiyevo,69.2551,33.3362,-1.19,73,100,8.91,RU,1714966441
167,godo,35.4167,136.6,21.1,100,100,3.75,JP,1714966441
168,cidreira,-30.1811,-50.2056,21.27,97,27,3.47,BR,1714966233
169,thompson,55.7435,-97.8558,6.09,70,20,1.54,CA,1714966441
170,lashio,22.9333,97.75,32.21,33,57,1.03,MM,1714966441
171,avarua,-21.2078,-159.775,27.03,89,75,7.2,CK,1714966441
172,cambria,35.5641,-121.0808,14.41,87,2,2.24,US,1714966337
173,labuan,5.2767,115.2417,31.2,74,40,1.03,MY,1714966441
174,baiti,13.745,-14.7482,28.2,22,0,2.92,SN,1714966441
175,san lawrenz,36.0553,14.204,16.03,87,7,3.28,MT,1714966442
176,tuxpan,19.55,-103.4,24.19,25,100,2.07,MX,1714966186
177,alaghsas,17.0187,8.0168,29.4,12,0,5.52,NE,1714966442
178,chonchi,-42.6128,-73.8092,5.62,97,97,1.07,CL,1714966442
179,wajir,1.7471,40.0573,26.98,83,75,2.57,KE,1714966442
180,paita,-5.0892,-81.1144,20.89,82,58,5.14,PE,1714966419
181,ishinomaki,38.4167,141.3,24.0,73,100,5.07,JP,1714966442
182,morehead city,34.7229,-76.726,23.0,86,0,4.12,US,1714966332
183,lebu,-37.6167,-73.65,10.69,79,94,7.15,CL,1714966442
184,veraval,20.9,70.3667,29.81,64,8,5.57,IN,1714966442
185,srisailain,16.0833,78.8667,36.82,35,1,1.81,IN,1714966442
186,sinop,41.7711,34.8709,5.02,74,1,0.43,TR,1714966443
187,rongelap,11.1635,166.8941,27.68,78,80,7.99,MH,1714966443
188,bataipora,-22.2953,-53.2711,21.37,44,0,2.73,BR,1714966443
189,baynjiwayn,35.6183,45.9541,11.22,74,70,3.05,IQ,1714966443
190,koster,-25.863,26.8976,10.48,46,90,1.2,ZA,1714966443
191,vadso,70.0744,29.7487,-0.51,86,100,7.2,NO,1714966443
192,nova sintra,14.8667,-24.7167,23.63,78,25,8.1,CV,1714966443
193,tommot,58.9564,126.2925,12.81,65,30,1.3,RU,1714966443
194,bossangoa,6.4926,17.4552,24.1,49,13,1.65,CF,1714966443
195,sinabang,2.4803,96.3801,30.21,71,78,0.95,ID,1714966443
196,borgarnes,64.5383,-21.9206,4.34,84,61,2.77,IS,1714966443
197,jacmel,18.2342,-72.5347,26.09,86,74,1.09,HT,1714966444
198,kinkala,-4.3614,14.7644,22.71,83,24,1.37,CG,1714966444
199,polyarnyy,69.1989,33.4478,-1.27,71,100,9.06,RU,1714966444
200,al burayqah,30.4062,19.5739,17.4,74,0,3.97,LY,1714966444
201,boende,-0.2167,20.8667,23.09,76,6,0.98,CD,1714966444
202,mahina,-17.5065,-149.489,29.87,58,40,6.17,PF,1714966444
203,alliance,40.9153,-81.1059,17.73,97,70,2.95,US,1714966444
204,salinopolis,-0.6136,-47.3561,25.54,93,99,9.92,BR,1714966444
205,pailon,-17.65,-62.75,25.5,83,39,4.51,BO,1714966444
206,lerwick,60.1545,-1.1494,9.0,96,99,2.53,GB,1714966445
207,qaqortoq,60.7167,-46.0333,-0.88,65,0,2.3,GL,1714966445
208,talagutong,6.2644,125.6678,29.45,71,41,4.28,PH,1714966445
209,konarka,19.9,86.1167,32.22,72,33,8.65,IN,1714966445
210,atafu village,-8.5421,-172.5159,29.76,74,21,2.78,TK,1714966445
211,manbij,36.5281,37.9549,13.43,72,95,3.71,SY,1714966445
212,fuglafjordur,62.244,-6.814,7.26,99,100,7.29,FO,1714966445
213,puerto leguizamo,-0.1934,-74.7819,22.13,99,100,0.83,CO,1714966445
214,at taj,24.2049,23.2857,18.95,29,0,4.04,LY,1714966446
215,enewetak,11.3474,162.3373,27.74,75,31,7.25,MH,1714966446
216,boda,4.3189,17.4695,23.01,70,0,0.65,CF,1714966446
217,fu'an,27.0892,119.6453,32.12,41,43,1.5,CN,1714966446
218,sandviken,60.6167,16.7667,3.65,84,100,3.93,SE,1714966446
219,naha,26.2125,127.6811,30.38,78,75,6.69,JP,1714966164
220,kapuskasing,49.4169,-82.4331,8.05,71,100,2.57,CA,1714966446
221,dadiya,9.6167,11.4333,26.29,70,100,2.3,NG,1714966446
222,puerto baquerizo moreno,-0.9,-89.6,22.92,88,38,3.16,EC,1714966446
223,tura,25.5198,90.2201,32.0,46,16,1.62,IN,1714966447
224,camapua,-19.5314,-54.0439,21.85,55,0,2.76,BR,1714966447
225,touros,-5.1989,-35.4608,26.66,80,83,5.99,BR,1714966447
226,nykobing sjaelland,55.9249,11.6711,10.03,92,75,3.94,DK,1714966447
227,ulan bator,47.9077,106.8832,18.07,32,0,1.0,MN,1714966405
228,sovata,46.5833,25.0667,11.24,88,52,0.8,RO,1714966447
229,masuguru,-11.3667,38.4167,21.38,96,38,0.93,TZ,1714966447
230,barbacha,36.5667,4.9667,11.24,72,0,2.06,DZ,1714966447
231,flin flon,54.7682,-101.865,8.54,63,26,3.58,CA,1714966447
232,petropavlovsk-kamchatsky,53.0452,158.6483,8.33,78,75,6.0,RU,1714966447
233,tonota,-21.4833,27.4833,12.69,51,0,1.87,BW,1714966448
234,sechura,-5.5569,-80.8222,21.61,78,44,6.87,PE,1714966448
235,kone,-21.0595,164.8658,27.04,51,91,3.2,NC,1714966448
236,tidjikja,18.5564,-11.4271,29.75,11,0,3.7,MR,1714966448
237,nicoya,10.1483,-85.452,26.99,81,43,1.38,CR,1714966448
238,samannud,30.9603,31.2433,15.47,80,0,2.97,EG,1714966448
239,souillac,-20.5167,57.5167,24.21,78,40,5.14,MU,1714966448
240,erdenet,49.0333,104.0833,18.93,26,100,2.15,MN,1714966448
241,poxoreo,-15.8372,-54.3892,21.08,70,0,1.88,BR,1714966448
242,cabo san lucas,22.8909,-109.9124,27.17,31,100,4.12,MX,1714966273
243,khandyga,62.6667,135.6,3.79,99,100,1.68,RU,1714966449
244,nar'yan-mar,67.6713,53.087,-7.16,88,91,1.79,RU,1714966449
245,pampa,35.5362,-100.9599,18.53,82,75,11.32,US,1714966449
246,zyrya,40.3661,50.2917,14.05,83,100,12.53,AZ,1714966449
247,thunder bay,48.4001,-89.3168,6.99,65,0,0.0,CA,1714966449
248,saint george's,12.0564,-61.7485,28.82,79,20,4.12,GD,1714966180
249,northam,51.0333,-4.2167,9.66,91,95,1.09,GB,1714966449
250,mount pleasant,32.7941,-79.8626,23.33,91,0,2.57,US,1714966449
251,pasuquin,18.3328,120.6177,31.97,74,20,4.12,PH,1714966450
252,san luis de la loma,17.2706,-100.8939,25.76,78,100,1.48,MX,1714966450
253,udachny,66.4167,112.4,-0.31,81,83,6.14,RU,1714966450
254,taber,49.8167,-112.1518,10.0,87,100,2.06,CA,1714966450
255,amga,60.8953,131.9608,11.92,45,60,2.53,RU,1714966450
256,manggar,-2.8833,108.2667,30.66,68,35,4.05,ID,1714966450
257,leava,-14.3,-178.1667,29.58,79,91,5.67,WF,1714966450
258,uvalde,29.3669,-99.767,22.95,93,75,2.57,US,1714966450
259,severo-yeniseyskiy,60.3725,93.0408,5.88,86,100,3.58,RU,1714966450
260,ola,59.5833,151.2833,3.41,73,27,1.7,RU,1714966450
261,"laikit, laikit ii (dimembe)",1.4792,124.9735,28.47,74,40,3.09,ID,1714966450
262,page,36.9147,-111.4558,8.88,58,100,6.71,US,1714966451
263,san pedro pochutla,15.7333,-96.4667,26.84,65,5,1.5,MX,1714966451
264,altai,46.3722,96.2583,16.81,12,86,7.24,MN,1714966451
265,frenda,35.0654,1.0495,10.43,33,100,1.74,DZ,1714966451
266,saipan,15.1355,145.701,33.39,55,40,7.2,MP,1714966451
267,obernai,48.4631,7.481,14.67,100,100,1.03,FR,1714966451
268,laguna,38.421,-121.4238,15.17,55,0,6.17,US,1714966451
269,volgodonsk,47.5136,42.1514,5.91,50,0,4.02,RU,1714966451
270,petoskey,45.3733,-84.9553,9.17,86,0,2.06,US,1714966188
271,callao,-12.0667,-77.15,20.95,82,0,6.69,PE,1714966232
272,milas,37.3164,27.7839,13.6,62,0,4.12,TR,1714966452
273,port douglas,-16.4833,145.4667,26.32,71,100,4.9,AU,1714966308
274,chaplynka,46.3651,33.5403,10.59,60,14,2.28,UA,1714966452
275,nueva concepcion,14.2,-91.3,28.83,77,100,0.92,GT,1714966452
276,tukrah,32.5341,20.5791,15.08,86,0,0.93,LY,1714966452
277,vegreville,53.5001,-112.0518,14.3,34,100,4.63,CA,1714966452
278,carthage,36.8611,10.3316,16.74,51,20,2.57,TN,1714966452
279,miches,18.9836,-69.0476,24.85,91,95,1.49,DO,1714966452
280,mococa,-21.4678,-47.0047,17.47,69,0,3.16,BR,1714966452
281,remire-montjoly,4.9167,-52.2667,26.02,100,75,1.54,GF,1714966453
282,newman,37.3138,-121.0208,14.58,63,29,0.89,US,1714966453
283,holualoa,19.6228,-155.9522,24.91,80,75,4.12,US,1714966453
284,tazovsky,67.4667,78.7,-5.26,92,100,5.66,RU,1714966453
285,ji'an,27.1172,114.9793,26.29,64,36,0.61,CN,1714966453
286,waingapu,-9.6567,120.2641,30.16,64,21,6.31,ID,1714966453
287,codrington,-38.2667,141.9667,16.08,62,7,6.53,AU,1714966453
288,akureyri,65.6835,-18.0878,2.96,70,20,3.6,IS,1714966453
289,puerto lempira,15.2667,-83.7667,26.54,83,1,4.03,HN,1714966453
290,maddela,16.3414,121.6849,37.55,30,28,0.32,PH,1714966453
291,thayetmyo,19.3167,95.1833,36.66,31,0,3.02,MM,1714966453
292,aswan,24.0934,32.907,22.79,22,0,4.63,EG,1714965882
293,weno,7.4515,151.8468,31.97,70,40,4.12,FM,1714966454
294,luau,-10.7073,22.2247,15.11,68,0,1.86,AO,1714966454
295,san ignacio de velasco,-16.3667,-60.95,23.09,66,0,1.93,BO,1714966454
296,sos'va,59.1766,61.8558,2.25,50,39,3.13,RU,1714966454
297,las cruces,32.3123,-106.7783,26.42,7,0,6.17,US,1714966454
298,belomorsk,64.5232,34.7668,-1.34,76,10,2.89,RU,1714966454
299,bocas del toro,9.3333,-82.25,26.14,73,99,1.48,PA,1714966454
300,mugia,43.1041,-9.2179,8.28,78,4,1.8,ES,1714966454
301,the pas,53.8251,-101.2541,12.01,50,75,4.12,CA,1714966454
302,tatarsk,55.219,75.9828,6.32,40,3,6.51,RU,1714966455
303,mudanjiang,44.5833,129.6,13.79,42,100,9.2,CN,1714966376
304,inhambane,-23.865,35.3833,20.49,79,1,1.72,MZ,1714966455
305,san antonio de pale,-1.4014,5.6325,27.9,85,79,5.89,GQ,1714966455
306,patacamaya,-17.2333,-67.9167,10.2,66,68,0.75,BO,1714966455
307,ghat,24.9647,10.1728,24.44,43,65,1.6,LY,1714966455
308,hami,42.8,93.45,32.04,4,100,8.05,CN,1714966455
309,buka,40.8108,69.1986,21.42,58,15,1.46,UZ,1714966455
310,mawlaik,23.6333,94.4167,32.53,38,62,1.17,MM,1714966455
311,napanee,44.2501,-76.9494,14.21,99,100,1.78,CA,1714966455
312,vilyuchinsk,52.9306,158.4028,9.15,70,50,3.09,RU,1714966455
313,sao joao da barra,-21.6403,-41.0511,24.84,84,0,4.27,BR,1714966212
314,bodo,67.28,14.405,4.97,70,0,9.26,NO,1714966456
315,lauro de freitas,-12.8944,-38.3272,25.01,94,75,4.12,BR,1714966334
316,dongola,19.1667,30.4833,26.78,16,0,4.88,SD,1714966456
317,suva,-18.1416,178.4415,26.71,89,75,3.6,FJ,1714966456
318,las khorey,11.1595,48.1967,30.6,74,9,2.72,SO,1714966456
319,balikpapan,-1.2675,116.8289,28.55,84,20,1.54,ID,1714966456
320,kamba,11.8486,3.6576,31.38,50,11,4.15,NG,1714966456
321,porto novo,6.4965,2.6036,29.9,87,12,2.41,BJ,1714966456
322,ust'-kut,56.7938,105.7672,20.24,33,94,5.36,RU,1714966456
323,colonia,50.9333,6.95,13.31,83,20,0.51,DE,1714966188
324,aykhal,66.0,111.5,0.02,94,100,5.01,RU,1714966243
325,ancud,-41.8697,-73.8203,9.1,84,93,8.29,CL,1714966457
326,tolanaro,-25.0319,46.9987,23.04,78,20,6.17,MG,1714966457
327,saint-philippe,-21.3585,55.7679,19.77,76,24,5.43,RE,1714966457
328,francistown,-21.17,27.5079,13.88,50,0,1.94,BW,1714966457
329,nysa,50.4738,17.3344,13.81,90,96,1.51,PL,1714966457
330,mar del plata,-38.0023,-57.5575,15.05,74,0,6.69,AR,1714966320
331,shimoda,34.6667,138.95,22.84,74,100,4.71,JP,1714966457
332,lalibela,12.0333,39.0333,17.83,51,26,1.75,ET,1714966457
333,tokar,18.4254,37.729,26.04,63,0,1.07,SD,1714966457
334,tbeng meanchey,13.8167,104.9667,37.38,40,35,2.61,KH,1714966457
335,koppies,-27.2418,27.5742,11.99,41,100,1.2,ZA,1714966458
336,vorkuta,67.5,64.0,-12.34,94,100,1.5,RU,1714966458
337,aksaray,38.3726,34.0254,4.84,75,0,3.9,TR,1714966458
338,aibak,36.2647,68.0155,23.41,38,47,0.3,AF,1714966458
339,usogorsk,63.4106,48.6872,-4.63,84,50,2.97,RU,1714966458
340,puerto cabezas,14.0351,-83.3888,26.17,82,2,2.73,NI,1714966458
341,siracusa,37.0881,15.2792,14.33,61,14,2.57,IT,1714966458
342,malanje,-9.5402,16.341,14.71,74,55,1.73,AO,1714966458
343,motueka,-41.1333,173.0167,16.0,50,19,1.18,NZ,1714966458
344,chui,-33.6971,-53.4616,19.32,96,96,1.59,UY,1714966458
345,coyhaique,-45.5752,-72.0662,-0.03,100,100,1.03,CL,1714966375
346,vinh yen,21.31,105.5967,22.97,91,100,1.72,VN,1714966459
347,colac,-38.3333,143.5833,16.76,46,0,2.62,AU,1714966459
348,dangriga,16.9692,-88.2321,27.12,84,0,4.71,BZ,1714966459
349,rantauprapat,2.1,99.8333,32.14,63,21,1.62,ID,1714966459
350,dudinka,69.4058,86.1778,-5.21,82,100,3.51,RU,1714966459
351,bikaner,28.0167,73.3,36.31,17,0,4.1,IN,1714966459
352,mejit,10.2753,170.8646,27.95,76,96,7.53,MH,1714966459
353,el doncello,1.6782,-75.2847,21.55,99,100,0.98,CO,1714966459
354,kegeyli shahar,42.7767,59.6078,19.05,43,8,4.74,UZ,1714966459
355,bonnyville,54.2668,-110.735,13.89,53,100,4.89,CA,1714966459
356,sandnessjoen,66.0217,12.6316,8.06,49,0,4.63,NO,1714966460
357,mhamid,29.82,-5.72,23.01,9,100,0.97,MA,1714966460
358,trubchevsk,52.5798,33.7644,10.37,81,45,2.72,RU,1714966460
359,springbok,-29.6643,17.8865,14.69,30,0,2.25,ZA,1714966460
360,vilyuysk,63.7553,121.6247,2.78,85,99,4.47,RU,1714966460
361,dien bien phu,21.3833,103.0167,36.73,34,45,0.54,VN,1714966269
362,midvagur,62.0511,-7.1939,7.46,100,100,7.2,FO,1714966460
363,rusape,-18.5278,32.1284,10.46,73,4,1.02,ZW,1714966460
364,boumahra ahmed,36.4583,7.5139,11.72,51,81,3.06,DZ,1714966460
365,zaozersk,69.4005,32.4476,-2.12,94,100,3.44,RU,1714966460
366,mount darwin,-16.7725,31.5838,12.37,91,1,1.27,ZW,1714966460
